project_uuid,job_name,job_uuid,floors,weight,is_ff,brand_uuid
6f2dbefb-3202-4b51-bd70-ea1bd9534729,E0014,2985950e-0b8d-4786-be25-346513724257,,,FALSE,
6f2dbefb-3202-4b51-bd70-ea1bd9534729,L0001,e9d6c51f-861f-44ad-abd1-3481dbad8ba7,,,FALSE,
6f2dbefb-3202-4b51-bd70-ea1bd9534729,L0002,8b671cfd-0643-4a6b-a0e9-895d414c4b56,,,FALSE,
6f2dbefb-3202-4b51-bd70-ea1bd9534729,L0003,d6b76c32-87aa-491d-8bca-9a1d435527ec,,,FALSE,
6f2dbefb-3202-4b51-bd70-ea1bd9534729,L0004,6e5c9a53-66ca-424c-9409-75e5ef8e1967,,,FALSE,
6f2dbefb-3202-4b51-bd70-ea1bd9534729,L0005,d154da07-a647-48e7-8cd2-113f102d115f,,,FALSE,
c4991b70-92fa-4d49-afa6-fbe17d3f7d5f,L1,d9f1951b-8725-41e5-9134-5142642207bb,12,1350,FALSE,
c4991b70-92fa-4d49-afa6-fbe17d3f7d5f,L2,d00ca216-c9ba-4993-9517-03a373c35f9a,12,800,FALSE,
c4991b70-92fa-4d49-afa6-fbe17d3f7d5f,L3,89d216e4-dad2-460e-8773-c5f99b40bb7c,12,800,FALSE,
c4991b70-92fa-4d49-afa6-fbe17d3f7d5f,L4,d8b11464-6408-4bd9-a5e6-27b45007b6b4,11,1000,FALSE,
c3a3712d-535f-4bbb-960a-7b3bbf0ceb61,L5,fcb7ee3f-80cc-42a3-9efd-97790d640de0,36,1600,FALSE,
c3a3712d-535f-4bbb-960a-7b3bbf0ceb61,L6,4066cfdc-4940-4ad4-8789-dd07b31c5028,36,1600,FALSE,
c3a3712d-535f-4bbb-960a-7b3bbf0ceb61,L7,bcb3fc2b-0a47-4e92-89e4-b0924afc811e,4,800,FALSE,
96eaf1a3-2f7c-4af8-bc23-29814db64545,L0001,aaaf8dc8-e4bb-4348-acee-19f973b6d96b,,,FALSE,
96eaf1a3-2f7c-4af8-bc23-29814db64545,L0001,2bbfcf62-3c34-4ff9-9266-5a1eb3c04b0c,,,FALSE,
d65dc67a-c91e-4710-979f-0d94f5ddb5f9,L0001,c5f6f193-f59a-40a9-9a3d-d8b77e926f7e,,,FALSE,
bc3f57bb-8758-4550-9a02-e814eb170c54,P0001,b515348c-795d-473f-b579-ff92fbeb16e3,16,1600,TRUE,
bc3f57bb-8758-4550-9a02-e814eb170c54,P0002,9a4d1f14-8564-4ef9-b4d0-552a86a9f9b7,16,1600,TRUE,
bc3f57bb-8758-4550-9a02-e814eb170c54,P0003,fc5fe75c-52a4-4b9b-93b6-97543442ed4c,16,1000,FALSE,
bc3f57bb-8758-4550-9a02-e814eb170c54,P0004,deb9721f-a9f0-4757-a531-12f8f5385ea6,16,1000,FALSE,
bc3f57bb-8758-4550-9a02-e814eb170c54,P0005,0f27ba10-c0ca-4fbe-8c24-459c3abd6c7b,16,1000,FALSE,
241bb860-e2e9-420d-86c8-20fe3416d93c,L0001,7ea81a4c-f33b-4bb7-9c92-53fab8943cdb,17,1600,FALSE,526fd746-78db-423e-bd98-1338f8338f87
86ef1332-8bc1-4ccc-8a9c-e79bc84c69cc,BOQ0001,f8f632f9-b8cc-49d3-91ec-b3c344049e64,,,FALSE,
