ID,project_uuid,financial_code_uuid,corresponding_account
937987907,11fca413-dadc-4a4c-89c0-b7b52150dba2,,
937970910,684e42f3-7912-48db-b577-9d9d2834f4de,,
937950365,684e42f3-7912-48db-b577-9d9d2834f4de,,
937949464,b95df8a1-ba8d-42ed-babd-0c9fdf95d181,,
937940927,684e42f3-7912-48db-b577-9d9d2834f4de,,
937938105,684e42f3-7912-48db-b577-9d9d2834f4de,,
937930756,684e42f3-7912-48db-b577-9d9d2834f4de,,
937916175,684e42f3-7912-48db-b577-9d9d2834f4de,,
938013674,769a66f7-239b-4b07-9247-181ba26f119d,,
937742454,52027283-5c5b-4fb8-86c1-acac8033d7bb,,
937700324,0c1f69b1-a479-4d6a-93f1-eac12c4730ce,,
937652464,f3244c53-709e-4b57-be43-41f06e2358c6,,
937645641,b4545c67-a31a-4b01-b60e-895432bb9ece,,
936815211,77a6b2c5-5cdf-471f-b550-be776a162e6b,,
937623214,f3244c53-709e-4b57-be43-41f06e2358c6,,
936432240,684e42f3-7912-48db-b577-9d9d2834f4de,,
936893715,f38187c6-ded0-4c0b-a01c-7b024ab809fb,,
936828704,9ef4122a-07e1-41a6-9b9e-b496ab6bc865,,
936817698,822dcb84-1cc8-4d87-97a8-c7a7be201ede,,
936403539,f38187c6-ded0-4c0b-a01c-7b024ab809fb,,
937581249,c762633f-b0e3-47f6-a2e8-5806a4e23810,,
937485470,684e42f3-7912-48db-b577-9d9d2834f4de,,
937457778,684e42f3-7912-48db-b577-9d9d2834f4de,,
937439210,684e42f3-7912-48db-b577-9d9d2834f4de,,
937436745,684e42f3-7912-48db-b577-9d9d2834f4de,,
937427228,684e42f3-7912-48db-b577-9d9d2834f4de,,
937420230,769a66f7-239b-4b07-9247-181ba26f119d,,
937410383,0c1f69b1-a479-4d6a-93f1-eac12c4730ce,,
937391226,684e42f3-7912-48db-b577-9d9d2834f4de,,
937384367,684e42f3-7912-48db-b577-9d9d2834f4de,,
937338874,684e42f3-7912-48db-b577-9d9d2834f4de,,
937320026,684e42f3-7912-48db-b577-9d9d2834f4de,,
936880034,684e42f3-7912-48db-b577-9d9d2834f4de,,
936808876,5c4ac886-3367-47a8-8a0f-c90fcbf09056,,
936739429,f3244c53-709e-4b57-be43-41f06e2358c6,,
936594977,f3244c53-709e-4b57-be43-41f06e2358c6,,
936590086,b95df8a1-ba8d-42ed-babd-0c9fdf95d181,,
936583409,b95df8a1-ba8d-42ed-babd-0c9fdf95d181,,
936502984,f3244c53-709e-4b57-be43-41f06e2358c6,,
936478974,f3244c53-709e-4b57-be43-41f06e2358c6,,
936465160,684e42f3-7912-48db-b577-9d9d2834f4de,,
936459852,684e42f3-7912-48db-b577-9d9d2834f4de,,
936450171,684e42f3-7912-48db-b577-9d9d2834f4de,,
936448631,684e42f3-7912-48db-b577-9d9d2834f4de,,
936425476,684e42f3-7912-48db-b577-9d9d2834f4de,,
936420542,dedde9b8-c981-4d49-9a64-321230018684,,
936382534,d5d18a0f-96b4-4fd2-b0f3-8711fd2250fb,,
936382200,f38187c6-ded0-4c0b-a01c-7b024ab809fb,,
936399635,684e42f3-7912-48db-b577-9d9d2834f4de,,
936386361,f3244c53-709e-4b57-be43-41f06e2358c6,,
936372673,77a6b2c5-5cdf-471f-b550-be776a162e6b,,
936372413,77a6b2c5-5cdf-471f-b550-be776a162e6b,,
936372100,77a6b2c5-5cdf-471f-b550-be776a162e6b,,
936371704,77a6b2c5-5cdf-471f-b550-be776a162e6b,,
936371197,77a6b2c5-5cdf-471f-b550-be776a162e6b,,
936370801,77a6b2c5-5cdf-471f-b550-be776a162e6b,,
936326364,dedde9b8-c981-4d49-9a64-321230018684,,
936323199,2702712b-a1e7-43fa-8c75-f84d4bd6d43f,,
936217200,11fca413-dadc-4a4c-89c0-b7b52150dba2,,
935577058,dedde9b8-c981-4d49-9a64-321230018684,,
935543724,f3244c53-709e-4b57-be43-41f06e2358c6,,
935481031,0c1f69b1-a479-4d6a-93f1-eac12c4730ce,,
935383225,dedde9b8-c981-4d49-9a64-321230018684,,
935360615,dedde9b8-c981-4d49-9a64-321230018684,,
935308140,a7180120-519b-4c0c-9eed-bf3eb90a8f85,,
935300329,dedde9b8-c981-4d49-9a64-321230018684,,
935257443,dedde9b8-c981-4d49-9a64-321230018684,,
935256437,dedde9b8-c981-4d49-9a64-321230018684,,
935240464,dedde9b8-c981-4d49-9a64-321230018684,,
935228636,dedde9b8-c981-4d49-9a64-321230018684,,
935065050,f3244c53-709e-4b57-be43-41f06e2358c6,,
935056509,699eacfe-5082-495c-b0f3-1e3fd3e7c070,,
934727010,f38187c6-ded0-4c0b-a01c-7b024ab809fb,,
934720360,06a814a3-da5b-4022-b934-2030a6344726,,
934719724,baf8c1ad-ba54-4470-8429-9ea13b05d403,,
935035372,f3244c53-709e-4b57-be43-41f06e2358c6,,
934999061,684e42f3-7912-48db-b577-9d9d2834f4de,,
934994727,769a66f7-239b-4b07-9247-181ba26f119d,,
934993490,0eb1f4bd-032c-4a62-8299-f30448d70ff4,,
934989434,06a814a3-da5b-4022-b934-2030a6344726,,
934819565,dedde9b8-c981-4d49-9a64-321230018684,,
934798133,0c1f69b1-a479-4d6a-93f1-eac12c4730ce,,
934769820,dedde9b8-c981-4d49-9a64-321230018684,,
934760566,dedde9b8-c981-4d49-9a64-321230018684,,
934754058,f3244c53-709e-4b57-be43-41f06e2358c6,,
934713102,dedde9b8-c981-4d49-9a64-321230018684,,
934574174,f2eb27a3-4aed-4096-af24-4b7a9c4512a7,,
934573871,2b337b80-f35d-4ea5-b222-e0e8c000067a,,
934534371,d1d7ae1c-04a3-4029-b082-195acb8392cf,,
934508953,dedde9b8-c981-4d49-9a64-321230018684,,
934479207,d1d7ae1c-04a3-4029-b082-195acb8392cf,,
934479126,dc975886-9bf9-42c8-afbe-87695aa01262,,
934468955,d5d18a0f-96b4-4fd2-b0f3-8711fd2250fb,,
934468298,9f39081e-da54-4b36-8e76-a61025d8a505,,
934467900,9ef4122a-07e1-41a6-9b9e-b496ab6bc865,,
934278840,9f39081e-da54-4b36-8e76-a61025d8a505,,
934169382,f38187c6-ded0-4c0b-a01c-7b024ab809fb,,
933471009,b92c6fb2-c824-4dd4-b4f8-0ba598efd62d,,
934481669,f3244c53-709e-4b57-be43-41f06e2358c6,,
934455401,77a6b2c5-5cdf-471f-b550-be776a162e6b,,
934450803,f3244c53-709e-4b57-be43-41f06e2358c6,,
934506997,f2eb27a3-4aed-4096-af24-4b7a9c4512a7,,
934318041,77a6b2c5-5cdf-471f-b550-be776a162e6b,,
934254649,eec3d256-1657-4bbd-b4f6-e7b43062d791,,
934226589,dedde9b8-c981-4d49-9a64-321230018684,,
934198047,0c1f69b1-a479-4d6a-93f1-eac12c4730ce,,
934194420,0c1f69b1-a479-4d6a-93f1-eac12c4730ce,,
934189656,77a6b2c5-5cdf-471f-b550-be776a162e6b,,
934156706,f3244c53-709e-4b57-be43-41f06e2358c6,,
934048493,f3244c53-709e-4b57-be43-41f06e2358c6,,
934045450,f3244c53-709e-4b57-be43-41f06e2358c6,,
934019054,9518b3a0-051a-4732-b24d-e59f121af873,,
934006714,eec3d256-1657-4bbd-b4f6-e7b43062d791,,
933984797,f3244c53-709e-4b57-be43-41f06e2358c6,,
933866897,dedde9b8-c981-4d49-9a64-321230018684,,
933675650,dedde9b8-c981-4d49-9a64-321230018684,,
933668966,684e42f3-7912-48db-b577-9d9d2834f4de,,
933668044,dedde9b8-c981-4d49-9a64-321230018684,,
933664048,dedde9b8-c981-4d49-9a64-321230018684,,
933655683,684e42f3-7912-48db-b577-9d9d2834f4de,,
933623935,684e42f3-7912-48db-b577-9d9d2834f4de,,
933543616,f3244c53-709e-4b57-be43-41f06e2358c6,,
933537061,f3244c53-709e-4b57-be43-41f06e2358c6,,
933532322,f3244c53-709e-4b57-be43-41f06e2358c6,,
933445573,d64e89d4-5e06-419d-853e-cdc9fc33f100,,
933437675,0c1f69b1-a479-4d6a-93f1-eac12c4730ce,,
933422807,f3244c53-709e-4b57-be43-41f06e2358c6,,
933411926,77a6b2c5-5cdf-471f-b550-be776a162e6b,,
933108157,77a6b2c5-5cdf-471f-b550-be776a162e6b,,
932851972,9f39081e-da54-4b36-8e76-a61025d8a505,,
933196026,f38187c6-ded0-4c0b-a01c-7b024ab809fb,,
933388105,f3244c53-709e-4b57-be43-41f06e2358c6,,
933156403,7b52b8fb-689a-4d49-8d34-bc72a92f96e7,,
933139623,a7180120-519b-4c0c-9eed-bf3eb90a8f85,,
933138429,2702712b-a1e7-43fa-8c75-f84d4bd6d43f,,
933133119,b95df8a1-ba8d-42ed-babd-0c9fdf95d181,,
932984765,0c1f69b1-a479-4d6a-93f1-eac12c4730ce,,
932914637,f3244c53-709e-4b57-be43-41f06e2358c6,,
932892827,baf8c1ad-ba54-4470-8429-9ea13b05d403,,
932612543,5c4ac886-3367-47a8-8a0f-c90fcbf09056,,
932839310,9f39081e-da54-4b36-8e76-a61025d8a505,,
932847002,0c1f69b1-a479-4d6a-93f1-eac12c4730ce,,
932642858,822dcb84-1cc8-4d87-97a8-c7a7be201ede,,
932619475,3655c52a-d5cf-463b-9048-b80f859c6f59,,
932258386,4eff1d30-e9a2-4b2e-8e29-8e87933f3ac3,,
932200456,0c1f69b1-a479-4d6a-93f1-eac12c4730ce,,
932148193,77a6b2c5-5cdf-471f-b550-be776a162e6b,,
932135269,77a6b2c5-5cdf-471f-b550-be776a162e6b,,
931894528,77a6b2c5-5cdf-471f-b550-be776a162e6b,,
932134161,f3244c53-709e-4b57-be43-41f06e2358c6,,
932129607,9f39081e-da54-4b36-8e76-a61025d8a505,,
931874034,f38187c6-ded0-4c0b-a01c-7b024ab809fb,,
932061341,baf8c1ad-ba54-4470-8429-9ea13b05d403,,
932111269,3655c52a-d5cf-463b-9048-b80f859c6f59,,
932081334,769a66f7-239b-4b07-9247-181ba26f119d,,
931936232,0c1f69b1-a479-4d6a-93f1-eac12c4730ce,,
931902203,7b52b8fb-689a-4d49-8d34-bc72a92f96e7,,
931808949,ac083c0a-9561-4cd2-88ca-726ff7544bbc,,
931809784,f38187c6-ded0-4c0b-a01c-7b024ab809fb,,
931872148,f38187c6-ded0-4c0b-a01c-7b024ab809fb,,
931846865,9ef4122a-07e1-41a6-9b9e-b496ab6bc865,,
931811965,77a6b2c5-5cdf-471f-b550-be776a162e6b,,
931830165,77a6b2c5-5cdf-471f-b550-be776a162e6b,,
931827086,77a6b2c5-5cdf-471f-b550-be776a162e6b,,
931806100,0c1f69b1-a479-4d6a-93f1-eac12c4730ce,,
931621934,b95df8a1-ba8d-42ed-babd-0c9fdf95d181,,
931618167,77a6b2c5-5cdf-471f-b550-be776a162e6b,,
931578326,f3244c53-709e-4b57-be43-41f06e2358c6,,
931571907,dedde9b8-c981-4d49-9a64-321230018684,,
931527263,dedde9b8-c981-4d49-9a64-321230018684,,
931383009,7b52b8fb-689a-4d49-8d34-bc72a92f96e7,,
931352754,3655c52a-d5cf-463b-9048-b80f859c6f59,,
931340350,f3244c53-709e-4b57-be43-41f06e2358c6,,
931327730,3655c52a-d5cf-463b-9048-b80f859c6f59,,
931310405,3655c52a-d5cf-463b-9048-b80f859c6f59,,
931304484,f3244c53-709e-4b57-be43-41f06e2358c6,,
931301957,9ef4122a-07e1-41a6-9b9e-b496ab6bc865,,
931300095,f38187c6-ded0-4c0b-a01c-7b024ab809fb,,
931299647,f3244c53-709e-4b57-be43-41f06e2358c6,,
931299354,ac083c0a-9561-4cd2-88ca-726ff7544bbc,,
930746629,9f39081e-da54-4b36-8e76-a61025d8a505,,
931294672,77a6b2c5-5cdf-471f-b550-be776a162e6b,,
931292722,dedde9b8-c981-4d49-9a64-321230018684,,
931137272,7b52b8fb-689a-4d49-8d34-bc72a92f96e7,,
931049044,dedde9b8-c981-4d49-9a64-321230018684,,
931022152,dedde9b8-c981-4d49-9a64-321230018684,,
931016392,684e42f3-7912-48db-b577-9d9d2834f4de,,
931015324,684e42f3-7912-48db-b577-9d9d2834f4de,,
931015123,684e42f3-7912-48db-b577-9d9d2834f4de,,
931010406,684e42f3-7912-48db-b577-9d9d2834f4de,,
930990732,f38187c6-ded0-4c0b-a01c-7b024ab809fb,,
930998230,684e42f3-7912-48db-b577-9d9d2834f4de,,
930990814,dedde9b8-c981-4d49-9a64-321230018684,,
930972400,f2eb27a3-4aed-4096-af24-4b7a9c4512a7,,
930891205,9f39081e-da54-4b36-8e76-a61025d8a505,,
930874961,dedde9b8-c981-4d49-9a64-321230018684,,
930260683,9f39081e-da54-4b36-8e76-a61025d8a505,,
930748383,f38187c6-ded0-4c0b-a01c-7b024ab809fb,,
930846186,684e42f3-7912-48db-b577-9d9d2834f4de,,
930816029,dc975886-9bf9-42c8-afbe-87695aa01262,,
930814682,77a6b2c5-5cdf-471f-b550-be776a162e6b,,
930610399,f38187c6-ded0-4c0b-a01c-7b024ab809fb,,
930588879,f2eb27a3-4aed-4096-af24-4b7a9c4512a7,,
930540023,684e42f3-7912-48db-b577-9d9d2834f4de,,
930514589,684e42f3-7912-48db-b577-9d9d2834f4de,,
930509589,684e42f3-7912-48db-b577-9d9d2834f4de,,
930481597,684e42f3-7912-48db-b577-9d9d2834f4de,,
930481654,0c1f69b1-a479-4d6a-93f1-eac12c4730ce,,
930475937,684e42f3-7912-48db-b577-9d9d2834f4de,,
930459202,684e42f3-7912-48db-b577-9d9d2834f4de,,
930319501,0c1f69b1-a479-4d6a-93f1-eac12c4730ce,,
930317800,769a66f7-239b-4b07-9247-181ba26f119d,,
930310435,dedde9b8-c981-4d49-9a64-321230018684,,
930260026,769a66f7-239b-4b07-9247-181ba26f119d,,
930190337,769a66f7-239b-4b07-9247-181ba26f119d,,
930099961,dedde9b8-c981-4d49-9a64-321230018684,,
930076712,dedde9b8-c981-4d49-9a64-321230018684,,
930058069,dedde9b8-c981-4d49-9a64-321230018684,,
929695149,684e42f3-7912-48db-b577-9d9d2834f4de,,
930000369,dedde9b8-c981-4d49-9a64-321230018684,,
929993664,8c71bc64-77cd-48ae-a719-3b4155a180c5,,
929803154,9f39081e-da54-4b36-8e76-a61025d8a505,,
929949682,dedde9b8-c981-4d49-9a64-321230018684,,
929780667,dface0a5-db2c-4fc9-93e6-ba7fc760d878,,
929785876,f3244c53-709e-4b57-be43-41f06e2358c6,,
929783143,684e42f3-7912-48db-b577-9d9d2834f4de,,
929748120,f2eb27a3-4aed-4096-af24-4b7a9c4512a7,,
929756891,f2eb27a3-4aed-4096-af24-4b7a9c4512a7,,
929745037,684e42f3-7912-48db-b577-9d9d2834f4de,,
929711021,684e42f3-7912-48db-b577-9d9d2834f4de,,
929688827,dedde9b8-c981-4d49-9a64-321230018684,,
929401954,77a6b2c5-5cdf-471f-b550-be776a162e6b,,
928698842,77a6b2c5-5cdf-471f-b550-be776a162e6b,,
929283825,656089ad-59f3-4aa8-85bd-4c98cb08ccfe,,
929283218,656089ad-59f3-4aa8-85bd-4c98cb08ccfe,,
929279899,0fd47e4e-273e-460f-8104-df710082a6e3,,
929220520,f3244c53-709e-4b57-be43-41f06e2358c6,,
928714480,0f3d70dc-38b6-492f-8399-6ef5ea0c155a,,
929112332,ac083c0a-9561-4cd2-88ca-726ff7544bbc,,
929006715,dedde9b8-c981-4d49-9a64-321230018684,,
928985994,f3244c53-709e-4b57-be43-41f06e2358c6,,
928961499,77a6b2c5-5cdf-471f-b550-be776a162e6b,,
928955222,f3244c53-709e-4b57-be43-41f06e2358c6,,
928952211,eec3d256-1657-4bbd-b4f6-e7b43062d791,,
928941759,dedde9b8-c981-4d49-9a64-321230018684,,
928936192,f3244c53-709e-4b57-be43-41f06e2358c6,,
928866829,dedde9b8-c981-4d49-9a64-321230018684,,
928861884,dedde9b8-c981-4d49-9a64-321230018684,,
928728633,0f3d70dc-38b6-492f-8399-6ef5ea0c155a,,
928714298,dc975886-9bf9-42c8-afbe-87695aa01262,,
928713882,0f3d70dc-38b6-492f-8399-6ef5ea0c155a,,
928700681,dedde9b8-c981-4d49-9a64-321230018684,,
928655019,dedde9b8-c981-4d49-9a64-321230018684,,
928468143,2702712b-a1e7-43fa-8c75-f84d4bd6d43f,,
928465745,dedde9b8-c981-4d49-9a64-321230018684,,
928459539,dedde9b8-c981-4d49-9a64-321230018684,,
928454016,77a6b2c5-5cdf-471f-b550-be776a162e6b,,
928438742,dedde9b8-c981-4d49-9a64-321230018684,,
928436605,77a6b2c5-5cdf-471f-b550-be776a162e6b,,
928426837,dedde9b8-c981-4d49-9a64-321230018684,,
928413278,ac083c0a-9561-4cd2-88ca-726ff7544bbc,,
928387720,77a6b2c5-5cdf-471f-b550-be776a162e6b,,
928391812,77a6b2c5-5cdf-471f-b550-be776a162e6b,,
928375700,684e42f3-7912-48db-b577-9d9d2834f4de,,
928372262,684e42f3-7912-48db-b577-9d9d2834f4de,,
928351440,77a6b2c5-5cdf-471f-b550-be776a162e6b,,
928308107,0c1f69b1-a479-4d6a-93f1-eac12c4730ce,,
928192600,1aa74853-22c6-45d3-bcb4-8a6ad960c25d,,
928161628,77a6b2c5-5cdf-471f-b550-be776a162e6b,,
928132733,04882c6c-dd6b-4874-9e9a-ebe0e6e4391e,,
928092463,f38187c6-ded0-4c0b-a01c-7b024ab809fb,,
928118836,f38187c6-ded0-4c0b-a01c-7b024ab809fb,,
927833180,684e42f3-7912-48db-b577-9d9d2834f4de,,
927828491,f38187c6-ded0-4c0b-a01c-7b024ab809fb,,
927824789,fd52dbce-dc49-4d84-94c3-3dcf9801ff1b,,
927813456,684e42f3-7912-48db-b577-9d9d2834f4de,,
927812064,77a6b2c5-5cdf-471f-b550-be776a162e6b,,
927811622,684e42f3-7912-48db-b577-9d9d2834f4de,,
927811480,684e42f3-7912-48db-b577-9d9d2834f4de,,
927806335,d1d7ae1c-04a3-4029-b082-195acb8392cf,,
927801983,77a6b2c5-5cdf-471f-b550-be776a162e6b,,
924461163,684e42f3-7912-48db-b577-9d9d2834f4de,,
