day,mismatch_rows,inflow_mismatch_rows,outflow_mismatch_rows,change_mismatch_rows,total_abs_inflow_diff,total_abs_outflow_diff,total_abs_change_diff
2024-09-11,1,1,1,0,12520.3,12520.3,0
2025-09-17,1,1,1,0,237923.98,237923.98,0
2024-09-18,1,1,1,0,542,542,0
2025-09-24,1,1,1,0,119082,119082,0
2024-09-25,1,1,1,0,84534.5,84534.5,0
2025-03-31,1,1,1,0,41989.87,41989.87,0
2024-04-01,1,1,1,0,191032.05,191032.05,0
2025-04-07,1,1,1,0,250,250,0
2025-04-14,1,1,1,0,156066.14,156066.14,0
2024-04-15,1,1,1,0,6947.22,6947.22,0
2025-04-21,1,1,1,0,800,800,0
2024-04-22,1,1,1,0,627269.11,627269.11,0
2025-04-28,1,1,1,0,153561.1,153561.1,0
2024-04-29,1,1,1,0,510636.23,510636.23,0
2025-08-04,1,1,1,0,65429.12,65429.12,0
2024-08-05,1,1,1,0,133759.2,133759.2,0
2025-08-11,1,1,1,0,234005.15,234005.15,0
2024-08-12,1,1,1,0,172465.06,172465.06,0
2024-08-19,1,1,1,0,27736.01,27736.01,0
2025-08-25,1,1,1,0,1000,1000,0
2024-08-26,1,1,1,0,5939.28,5939.28,0
2025-12-01,1,1,1,0,5344.18,5344.18,0
2024-12-02,1,1,1,0,51244.51,51244.51,0
2025-12-08,1,1,1,0,13934.55,13934.55,0
2024-12-09,1,1,1,0,32939.13,32939.13,0
2025-12-15,1,1,1,0,24453.24,24453.24,0
2024-12-16,1,1,1,0,11297.79,11297.79,0
2025-12-22,1,1,1,0,51331.85,51331.85,0
2024-12-23,1,1,1,0,31416.33,31416.33,0
2025-12-29,1,1,1,0,161915,161915,0
2024-12-30,1,1,1,0,64749.15,64749.15,0
2026-02-02,1,1,1,0,15153.36,15153.36,0
2025-02-03,1,1,1,0,35597.6,35597.6,0
2024-02-05,1,1,1,0,79551.98,79551.98,0
2026-02-09,1,1,1,0,18327.53,18327.53,0
2025-02-10,1,1,1,0,32052.34,32052.34,0
2024-02-12,1,1,1,0,4018.81,4018.81,0
2026-02-16,1,1,1,0,100825.65,100825.65,0
2024-02-19,1,1,1,0,27696.71,27696.71,0
2026-02-23,1,1,1,0,236968.06,236968.06,0
2025-02-24,1,1,1,0,1672.58,1672.58,0
2024-02-26,1,1,1,0,100,100,0
2026-01-05,1,1,1,0,10043.9,10043.9,0
2024-01-08,1,1,1,0,5520.64,5520.64,0
2026-01-12,1,1,1,1,567415.63,73399.73,494015.9
2025-01-13,1,1,1,0,565.84,565.84,0
2024-01-15,1,1,1,0,6522.15,6522.15,0
2026-01-19,1,1,1,0,6149.99,6149.99,0
2025-01-20,1,1,1,0,15598.35,15598.35,0
2024-01-22,1,1,1,0,13533.75,13533.75,0
2026-01-26,1,1,1,0,1590,1590,0
2025-01-27,1,1,1,0,1800,1800,0
2024-01-29,1,1,1,0,6919.58,6919.58,0
2025-06-30,1,1,1,0,4027.67,4027.67,0
2024-07-01,1,1,1,0,182129.53,182129.53,0
2025-07-07,1,1,1,0,124557.24,124557.24,0
2024-07-08,1,1,1,0,22964.84,22964.84,0
2025-07-14,1,1,1,0,7890.05,7890.05,0
2024-07-15,1,1,1,0,2567.63,2567.63,0
2025-07-21,1,1,1,0,1348882.99,1348882.99,0
2024-07-22,1,1,1,0,4521.73,4521.73,0
2025-07-28,1,1,1,0,19494.07,19494.07,0
2024-07-29,1,1,1,0,159697.11,159697.11,0
2025-06-02,1,1,1,0,15370.05,15370.05,0
2024-06-03,1,1,1,0,63838.47,63838.47,0
2025-06-09,1,1,1,0,112489.19,112489.19,0
2024-06-10,1,1,1,0,122756.53,122756.53,0
2025-06-16,1,1,1,0,4745.61,4745.61,0
2024-06-17,1,1,1,0,72660.24,72660.24,0
2025-06-23,1,1,1,0,546.68,546.68,0
2026-03-02,1,1,1,0,1154.25,1154.25,0
2025-03-03,1,1,1,0,4242.76,4242.76,0
2024-03-04,1,1,1,0,9361.66,9361.66,0
2026-03-09,1,1,1,0,35085.06,35085.06,0
2025-03-10,1,1,1,0,18760.37,18760.37,0
2024-03-11,1,1,1,0,278217.73,278217.73,0
2025-03-17,1,1,1,0,516317.4,516317.4,0
2024-03-18,1,1,1,0,43610.87,43610.87,0
2025-03-24,1,1,1,0,2425.2,2425.2,0
2024-03-25,1,1,1,0,30338.52,30338.52,0
2025-05-05,1,1,1,0,110097.78,110097.78,0
2024-05-06,1,1,1,0,207899.98,207899.98,0
2025-05-12,1,1,1,0,149092.21,149092.21,0
2024-05-13,1,1,1,0,2782.05,2782.05,0
2025-05-19,1,1,1,0,450536.29,450536.29,0
2024-05-20,1,1,1,0,316711.44,316711.44,0
2025-05-26,1,1,1,0,113336.62,113336.62,0
2024-05-27,1,1,1,0,203993.83,203993.83,0
2025-11-03,1,1,1,0,35138.31,35138.31,0
2024-11-04,1,1,1,0,81294.34,81294.34,0
2025-11-10,1,1,1,0,17809.29,17809.29,0
2024-11-11,1,1,1,0,111538.64,111538.64,0
2025-11-17,1,1,1,0,99173.91,99173.91,0
2024-11-18,1,1,1,0,98938.33,98938.33,0
2025-11-24,1,1,1,0,1061.5,1061.5,0
2024-11-25,1,1,1,0,1700,1700,0
2024-09-30,1,1,1,0,149284.87,149284.87,0
